name='Meilen', id=8503104, x='47.269812', y='8.644296'
name='Mellingen', id=8502962, x='47.412884', y='8.27501'
name='Mendrisio', id=8505305, x='45.869122', y='8.978605'
name='Meyrin', id=8501006, x='46.222335', y='6.076914'
name='Monthey', id=8501421, x='46.255649', y='6.955223'
name='Montreux', id=8501300, x='46.435873', y='6.91043'
name='Morcote', id=8505557, x='45.922742', y='8.917146'
name='Morges', id=8501037, x='46.511095', y='6.49396'
name='Moudon', id=8504120, x='46.668056', y='6.802505'
name='Moutier', id=8500105, x='47.280671', y='7.381042'
name='Münchenstein', id=8500119, x='47.513383', y='7.617584'
name='Münsingen', id=8507006, x='46.873342', y='7.559424'
name='Muri', id=8502215, x='47.276662', y='8.339796'
name='Murten', id=8504128, x='46.92539', y='7.115375'
name='Muttenz', id=8500020, x='47.533582', y='7.647878'
name='Neuchâtel', id=8504221, x='46.996719', y='6.935708'
name='Neuhausen', id=8503423, x='47.683136', y='8.624916'
name='Neunkirch', id=8014483, x='47.68915', y='8.495381'
name='Nidau', id=8504461, x='47.124016', y='7.242177'
name='Nyon', id=8501030, x='46.38441', y='6.235969'
name='Oftringen', id=8502363, x='47.303494', y='7.936845'
name='Olten', id=8500218, x='47.351928', y='7.907684'
name='Onex', id=8593027, x='46.186225', y='6.107235'
name='Opfikon', id=8503340, x='47.429955', y='8.561766'
name='Orbe', id=8501191, x='46.724391', y='6.530105'
name='Orsières', id=8501578, x='46.027736', y='7.143808'
name='Ostermundigen', id=8507002, x='46.956798', y='7.481488'
name='Payerne', id=8504134, x='46.819641', y='6.939879'
name='Porrentruy', id=8500126, x='47.420911', y='7.080074'
name='Pratteln', id=8500021, x='47.52266', y='7.690802'
name='Prilly', id=8518452, x='46.526691', y='6.60263'
name='Pully', id=8501121, x='46.510915', y='6.65946'
name='Rapperswil', id=8503110, x='47.224884', y='8.816727'
name='Regensberg', id=8576289, x='47.482865', y='8.436259'
name='Regensdorf', id=8503526, x='47.436562', y='8.472063'
name='Reinach', id=8502168, x='47.250107', y='8.183338'
name='Renens', id=8501118, x='46.537029', y='6.578935'
name='Rheinau', id=8573433, x='47.638522', y='8.600321'
name='Rheineck', id=8506313, x='47.466891', y='9.590905'
name='Rheinfelden', id=8500301, x='47.55121', y='7.792155'
name='Richterswil', id=8503207, x='47.20837', y='8.707464'
name='Riehen', id=8014439, x='47.583158', y='7.652013'
name='Riva Sn Vitale', id=8578876, x='45.906013', y='8.971297'
name='Rolle', id=8501033, x='46.462733', y='6.336406'
name='Romainmôtier', id=8504657, x='46.69452', y='6.460637'
name='Romont', id=8504023, x='46.693504', y='6.911814'
name='Rorschach', id=8506311, x='47.478002', y='9.50513'
name='Rue', id=8503121, x='47.260481', y='8.854069'
name='Saillon', id=8571011, x='46.17649', y='7.192089'
name='St-Maurice', id=8501403, x='46.216366', y='7.002048'
name='St-Prex', id=8501036, x='46.482303', y='6.455899'
name='St-Ursanne', id=8500124, x='47.367695', y='7.165939'
name='Sala', id=8300235, x='45.234303', y='8.017236'
name='St. Gallen', id=8101032, x='48.208304', y='15.624672'
name='Sargans', id=8509411, x='47.04536', y='9.445397'
name='Sarnen', id=8508314, x='46.894602', y='8.247477'
name='Schaffhausen', id=8503424, x='47.698283', y='8.632727'
name='Schlieren', id=8503509, x='47.399175', y='8.447226'
name='Schwyz', id=8505006, x='47.026393', y='8.632143'
name='Sembrancher', id=8501576, x='46.077105', y='7.146289'
name='Sempach', id=8502009, x='47.116051', y='8.195968'
name='Sierre', id=8501509, x='46.292118', y='7.532825'
name='Sion', id=8501506, x='46.227548', y='7.359189'
name='Solothurn', id=8500207, x='47.204181', y='7.542686'
